"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
24834,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",124,"Napieoledougou","","","Sous-préfecture","Sub-prefecture"
24835,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",125,"Niofoin","","","Sous-préfecture","Sub-prefecture"
24836,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",126,"Sinematiali","","","Sous-préfecture","Sub-prefecture"
24837,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",127,"Sirasso","","","Sous-préfecture","Sub-prefecture"
24838,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",128,"Tioroniaradougou","","","Sous-préfecture","Sub-prefecture"
24839,56,"CIV","Côte d'Ivoire",14,"Savanes",37,"Tengréla",129,"Kanakono","","","Sous-préfecture","Sub-prefecture"
24840,56,"CIV","Côte d'Ivoire",14,"Savanes",37,"Tengréla",130,"Tengrela","","","Sous-préfecture","Sub-prefecture"
24841,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama",38,"Divo",131,"Divo","","","Sous-préfecture","Sub-prefecture"
24842,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama",38,"Divo",132,"Fresco","","","Sous-préfecture","Sub-prefecture"
24843,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama",38,"Divo",133,"Guitry","","","Sous-préfecture","Sub-prefecture"
24844,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama",38,"Divo",134,"Hire","","","Sous-préfecture","Sub-prefecture"
24845,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama",39,"Lakota",135,"Lakota","","","Sous-préfecture","Sub-prefecture"
24846,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama",39,"Lakota",136,"Zikisso","","","Sous-préfecture","Sub-prefecture"
24847,56,"CIV","Côte d'Ivoire",16,"Sud-Comoé",40,"Aboisso",137,"Aboisso","","","Sous-préfecture","Sub-prefecture"
24848,56,"CIV","Côte d'Ivoire",16,"Sud-Comoé",40,"Aboisso",138,"Adiake","","","Sous-préfecture","Sub-prefecture"
24849,56,"CIV","Côte d'Ivoire",16,"Sud-Comoé",40,"Aboisso",139,"Ayame","","","Sous-préfecture","Sub-prefecture"
24850,56,"CIV","Côte d'Ivoire",16,"Sud-Comoé",40,"Aboisso",140,"Mafere","","","Sous-préfecture","Sub-prefecture"
24851,56,"CIV","Côte d'Ivoire",16,"Sud-Comoé",40,"Aboisso",141,"Tiapoum","","","Sous-préfecture","Sub-prefecture"
24852,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",41,"Béoumi",142,"Beoumi","","","Sous-préfecture","Sub-prefecture"
24853,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",41,"Béoumi",143,"Bodokro","","","Sous-préfecture","Sub-prefecture"
24854,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",42,"Bouaké",144,"Botro","","","Sous-préfecture","Sub-prefecture"
24855,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",42,"Bouaké",145,"Bouake","","","Sous-préfecture","Sub-prefecture"
24856,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",42,"Bouaké",146,"Brobo","","","Sous-préfecture","Sub-prefecture"
24857,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",42,"Bouaké",147,"Diabo","","","Sous-préfecture","Sub-prefecture"
24858,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",42,"Bouaké",148,"Djebonoua","","","Sous-préfecture","Sub-prefecture"
